codigo,herramienta,stream,title,description,creator,keywords,actualizacion,publicado,developer,notas,url-tablero,url-portada
59,Qlik Sense,Servicio al Cliente - Operativo,Gestión de Reclamos resueltos,"El dashboard permite visualizar la gestión integral de los reclamos gestionados, incluyendo el estado de cada fase del proceso, la documentación asociada, constancias, documentos adjuntos y otros elementos clave. Está diseñado para asegurar el seguimiento adecuado de cada caso y disponibilizar la información relevante a la primera línea de la Dirección de Servicio al Cliente.",Alan Medina,"Reclamo, Monto, Validación, Cliente","Diario 9AM, 12 PM y 3PM",17/10/2025,Christian Andre Galindo Rios,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
60,Power BI,Mercado Masivo,Reporte Consulta Pedido Tienda Virtual,Reporte que contiene información del estado del pedido web del cliente,Eddy Armando Fernandez Ochoa,"Cliente, Visita Web, Pedido, Estado",Diaria 9 AM,21/10/2025,Jorge Luis Juan de dios Apaza,,https://amovperu.sharepoint.com/:b:/r/sites/OficinadeInteligenciadeDatosOID/Documentos%20compartidos/General/DASHBOARD%20QLIK%20Y%20POWER%20BI/Documentaci%C3%B3n%20Power%20BI/Reporte%20Consulta%20Pedido%20Tienda%20Virtual.pdf?csf=1&web=1&e=HyFdSs,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
61,Power BI,Mercado Masivo,TNPS de Venta y Postventa de Fija,El dashboard nos permite entender el nivel de satisfacción del cliente con el servicio brindado.,Victor Hugo Ortiz Perez,"Postventa, Satisfacción De Atención, Cliente, Nivel",Diaria 11 AM,21/10/2025,Jamil Brandy Tuncar Quispe,,https://amovperu.sharepoint.com/:b:/r/sites/OficinadeInteligenciadeDatosOID/Documentos%20compartidos/General/DASHBOARD%20QLIK%20Y%20POWER%20BI/Documentaci%C3%B3n%20Power%20BI/TNPS%20de%20Venta%20y%20Postventa%20de%20Fija.pdf?csf=1&web=1&e=qJc5fG,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
62,Power BI,Mercado Masivo,Seguimiento Fono Claro,Reporte que mide la efectividad de las comunicación TFI con acción de recarga y permite realizar el seguimiento de recargas de lineas TFI.,Juana Gutierrez,"Recarga, Efectividad, Telefonía",Diario 10:30 AM,21/10/2025,"Gonzalo Junior Machicao Atao, Willy Tomas Salsavilca Pacheco, Walter Josue Bautista Vilela",,https://amovperu.sharepoint.com/:b:/r/sites/OficinadeInteligenciadeDatosOID/Documentos%20compartidos/General/DASHBOARD%20QLIK%20Y%20POWER%20BI/Documentaci%C3%B3n%20Power%20BI/Seguimiento%20Fono%20Claro.pdf?csf=1&web=1&e=CAAAgw,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
63,Qlik Sense,Dirección General,Análisis Cliente Único,"Muestra la cantidad de clientes y servicios para cada mes, junto a su ubicación, segmento de valor y antigüedad respectiva",Jorge Mondragon,"Cliente Único, Región, Segmento, Servicio",Mensual - Día 7 - 10:00 am,29/10/2025,Bill Giner Lopez Milla,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
64,Power BI,Mercado Masivo - Operativo,Reporte Marketplace - Tienda Virtual,Reporte que permite dar trazabilidad del desempeño comercial y estados de las ventas de Marketplace del canal Tienda Virtual.,Eddy Armando Fernandez Ochoa,"Tienda Virtual, Transacción, Comercial, Estado",Diario 9:30 AM,03/11/2025,Bruno Eduardo Bernedo Acosta,,https://amovperu.sharepoint.com/:b:/r/sites/OficinadeInteligenciadeDatosOID/Documentos%20compartidos/General/DASHBOARD%20QLIK%20Y%20POWER%20BI/Documentaci%C3%B3n%20Power%20BI/Reporte%20Marketplace%20-%20Tienda%20Virtual.pdf?csf=1&web=1&e=dyCkoT,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
65,Power BI,Mercado Masivo - Operativo,Seguimiento de Repetidores Wifi,Muestra los repetidores adquiridos por los clientes,Juana Gutierrez,"Cliente, Transacción, Repetidor","Diario 11 AM, 12 PM",04/11/2025,Frank Nick Zanabria Santos,,https://amovperu.sharepoint.com/:b:/r/sites/OficinadeInteligenciadeDatosOID/Documentos%20compartidos/General/DASHBOARD%20QLIK%20Y%20POWER%20BI/Documentaci%C3%B3n%20Power%20BI/Seguimiento%20de%20Repetidores%20Wifi.pdf?csf=1&web=1&e=Dvhnqt,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
66,Power BI,Mercado Masivo - Operativo,Seguimiento de Campañas Retención Móvil,"El tablero permite ver los indicadores de seguimiento de todas las campañas que gestiona el canal de Retenciones ( %contacto, %retención)",Jhemeli Alexandra Garcia Carlos,"Campaña, Retención, Evolución, Gestión, Contacto",Diaria 9:30 AM,06/11/2025,ROBERTH PEREZ RIVERA,,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
67,Power BI,Auditoría y Control Interno - Operativo,Tráfico LDI cursado,"Visualiza el tráfico de voz internacional cursado (LDI) en minutos y la cantidad de eventos registrados en el período seleccionado. Permite analizar tendencias por fecha y país, así como identificar los destinos con mayor participación en el tráfico. Incluye indicadores globales y detalle por país, complementado con una vista detallada por evento para trazabilidad. Central: Plataforma Central en donde se registra el tráfico, a excepción del tráfico Extranjero.",Carla Zapata,Tráfico,Semanal Lunes a Viernes 12:30PM,07/11/2025,Hans Matos Rios,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
68,Power BI,Legal - Operativo,Reporte de Procesos Legales,Se muestra la información de sobre las contingencias mensuales de los procesos de la Dirección Legal.,Luis Quijada,"Demanda, Contingencia, Riesgo",Semanal - Lunes 12:00PM,11/11/2025,Bill Giner Lopez Milla,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
69,Power BI,Planeamiento Estratégico - Operativo,Tablero de Calidad de datos - Puntualidad y Tendencia,"Se muestra el control de la puntualidad y la tendencia de datos de tablas en warehouse, la puntualidad se muestra en con el detalle de horas de actualización y se consolida en cantidades de tablas actualizadas puntualmente, cantidades de tablas actualizadas tarde, cantidad de tablas no actualizadas, tablas vacías. La tendencia de datos se detalla con una variabilidad en la tendencia según el tipo de tabla y se evidencia en un gráfico evolutivo.",Adolfo Isidro,"Calidad, Gobierno, Tabla",En Línea,18/11/2025,Anderson Ronaldo Barrera Garcilazo,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
70,Power BI,Servicio al Cliente - Operativo,TNPS Ejecutivo - Mercado Masivo,Se muestra el TNPS de todas las campañas de Mercado Masivo,Alan Medina,"Campaña, Masivo, NPS","Diaria 10:00 AM, y 1:00 PM",17/11/2025,"Alan Medina, Nildo Huachaca Rodriguez, Cesar Adriano Lobato Tello",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
71,Power BI,Servicio al Cliente - Operativo,Matriz Indicadores México,"Muestra los principales indicadores del servicio fijo alámbrico HFC y FTTH, que se presentan en la sesión semanal con el Corporativo.",Alan Medina,"Alta, Fija, Tecnología, Rechazo",Diario 8:00 AM,25/11/2025,"Alan Medina, Gabriel Alberto Mayuri Cordero",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
72,Power BI,Tecnologia - Operativo,Desalineaciones Procesos y Conciliaciones,El reporte permite hacer un seguimiento de las diferencias entre los legados vs. SAP a nivel de documentos.,Josue Alfonso Balarezo Llerena,"Ajuste, Financiamiento",Diaria 9:00 AM y 3:00 PM,04/11/2025,Elver Ramirez,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
73,Power BI,Regional del Sur - Operativo,Cronograma de Capacitaciones,"Este reporte permite hacer seguimiento de las capacitaciones brindadas por parte del equipo de Gestión Humana de la Región del Sur, ademas de ver sus indicadores de forma historica ya sean por curso, capacitador y otros.",Juan Carlos Paredes,"Capacitación, Socio Comercial",Diaria 10:00 AM 1:00 PM y 4:00 PM,28/11/2025,Reich Jorge guillermo lui Llamoja Hilares,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
74,Power BI,Operaciones Comerciales - Operativo,TIN Experiencia al Socio Comercial,"Principalmente muestra indicadores que midan la satisfacción del socio comercial mediante encuestas realizadas periodicamente a traves del portal Qualtrics. Con la finalidad de identificar la brecha a mejorar a las cinco Áreas de Gestión de Canales, por un tablero en Power BI.",Danny Rojas,"Experiencia, Socio Comercial, Región, Categoría Socio",Semanal - Lunes 12:00 PM,12/12/2025,"Ruth Alvarez, Esteban Daniel Oscategui Valverde",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
75,Power BI,Finanzas - Operativo,Rentabilidad de Servicios SVA Masivo,"Dashboard creado para poder visualizar el análisis financiero evolutivo mensual y anual de los ingresos, costos, rentabilidad, usuarios y % de uso de los productos de SVA Masivo, como también muestra nuestro posicionamiento en el rubro de SVA comparado a los demás países del Grupo AMX. Esta presentación proporciona un enfoque en la cual permite identificar tendencias, variaciones significativas y oportunidades de mejora en la gestión financiera del rubro de SVA.",Patricia Carolina Acevedo,"Ingreso, SVA",Diario 4PM,11/12/2025,"MACGYVER HARRINSON HORNA CESPEDES, Omar Alberto Zamudio",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
76,Power BI,Mercado Corporativo,Base Portabilidad Corporativa,"El dashboard tiene un alcance a nivel de dirección, gerencias y jefaturas, en la cual se mostrara información acerca de cantidad de nuestros clientes moviles de acuerdo al lugar donde operan, que punto de venta tiene asigando la cuenta , si se subscribieron a un servicio movil de nuestro mercado o si se fueron a otra operadora, servira para brindar información de las empresas las cuales se subscribieron a uno de nuestros servicios y cuales se dieron de baja y se fueron a otra operadora.",Patricia Huisa,"Portabilidad, Corporativo","Diaria 10 AM, 12 PM , 5PM",12/12/2025,Gabriel Tiza Huaringa,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
77,Power BI,Auditoría y Control Interno - Operativo,Ejecución de Controles de AAII,"""Visualiza el estado de ejecución de los controles AAII en el período seleccionado, permitiendo analizar el cumplimiento y detectar posibles incidencias. La página ofrece filtros por fecha, resultado de ejecución, equipo, analista encargado y tipo de error, brindando flexibilidad para el análisis. Incluye indicadores globales como el porcentaje de controles no ejecutados, así como gráficos que muestran la distribución por período, equipo, analista y día, además de los motivos de error más frecuentes. Esta información facilita la identificación de tendencias, áreas críticas y causas principales de incumplimiento. RAPO: Revenue Assurance Process Optimizer. AAII: Aseguramiento de Ingresos""",Carla Zapata,"Análisis, Ejecución, Falla",Semanal Lunes a Viernes 12:30PM,17/12/2025,Hans Matos Rios,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
78,Power BI,Mercado Masivo - Operativo,Oportunidades Perdidas Fija,Se muestra las oportunidades de venta de las campañas de la fija por el canal cac y 123,Juana Gutierrez,"Campaña, Oportunidad, Fija","Diario 11 AM, 12 PM",18/12/2025,Frank Nick Zanabria Santos,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
79,Power BI,Mercado Masivo - Operativo,Venta de Paquetes Premium Upsell Fija,Seguimiento de la cantidad (transacciones) y costos fijo (ingresos) de las Venta de Paquetes Premium de los clientes Fija.,Juana Gutierrez,"Paquete, Venta, Costo, Fija, Transacción",Diaria 12PM,18/12/2025,Gonzalo Junior Machicao Atao,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
80,Power BI,Finanzas - Operativo,Reporte Payback,"El reporte representa los principales indicadores relacionados con los nuevos clientes del segmento masivo, con el objetivo de analizar su comportamiento y rentabilidad. Los indicadores incluidos son el Payback, que mide el tiempo estimado para recuperar la inversión realizada en la adquisición del cliente; el Arpu, que representa el ingreso promedio generado por cada cliente; y el Sac Unitario, que refleja el costo unitario de adquisición. Esta información permite evaluar la eficiencia de las estrategias de captación y la rentabilidad del segmento masivo en función del tiempo de permanencia de los clientes.",Orlando Benjamin Silva Chuquillanqui,"Venta, ARPU, Payback",Semanal - Viernes 8:00 PM,22/12/2025,"MACGYVER HARRINSON HORNA CESPEDES, Omar Alberto Zamudio",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
81,Power BI,Dirección General,Flash Prepago,Rocio Rupay,Prepago,,,23/12/2025,Miller Joaquin Obispo Velasquez,,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
82,Power BI,Mercado Masivo - Operativo,Flash de Bajas Móvil,"El tablero permite ver los indicadores de seguimiento de todas las Bajas. Permite explotar KPIs como %Churn ,cantidad de bajas y participación de bajas de prepago y postpago móvil",Jhemeli Alexandra Garcia Carlos,"Baja, Móvil, Prepago, Postpago, Churn","Diaria 12 PM , 1:30 PM",24/12/2025,CARLOS MARTIN MAYAUTE DE LA CRUZ,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
83,Power BI,Dirección General,Análisis Base Prepago,"Dashboard que muestra toda la base prepago en plataforma, se incluye un filtro para diferenciar aquellos que están reportados en la base de suscriptores, los cuales hacen referencia a los que han tenido tráfico en los últimos 3 meses.",Jorge Mondragon,"Línea, Prepago",Diario 9:30 AM,29/12/2025,Miller Joaquin Obispo Velasquez,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
84,Power BI,Mercado Masivo - Operativo,Tablero de Gestión Cadenas,"El Tablero de Gestión muestra información a nivel de línea de negocio Móvil (Canal Cadenas y Cac OLO). Ventas evolutivas vs LY. Entre las variables para analizar tenemos: Ventas, Alta, Porta, Reno, %Pack, Ingresos Postpago actual y año anterior, Arpu, Tkt Pack. Entre las dimensiones a analizar están: Pack/Chip, Línea de Negocio, Segmento, Forma de Contratación, Tipo de Contratación, Operador y Modalidad Cedente, Canal de Ventas, Punto de Venta, Equipos y PDv_2.",Hugo Marcial Villanueva Upson,"Gestión, Móvil, Evolución, Canal, Contrata, Venta","Diaria 10 AM, 11 AM, 12 PM y 1PM",30/12/2025,Jose Carlos Ugarte Miranda,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
85,Power BI,Finanzas - Operativo,Kardex Capex Variable,"Dashboard creado para tener un control visible de las entradas y salidas de inventario, poder llevar el seguimiento compras y refurbish. También poder realizar el seguimiento de los equipos por cliente y costo de equipos con el objetivo de facilitar la planificación y gestión eficiente de los recursos destinados a cada cliente. Se muestran indicadores de rotación, equipos disponibles equipos por reparar para poder evaluar sus variaciones.",Orlando Benjamin Silva Chuquillanqui,"Equipo, Inventario, Compra",Diario 4PM,31/12/2025,"Jordan Alvarado Apolinario - altamira, Omar Alberto Zamudio",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
86,Power BI,Mercado Masivo - Operativo,Notificaciones Automáticas Prepago,Seguimiento de las transacciones e importe de ingresos y porcentajes por capa en el flujo de las notificaciones de Crece Tu Recarga para líneas móviles prepago cuando realizan una recarga.,Juana Gutierrez,"Ingreso, Recarga, Prepago, Móvil, Transacción",Diaria 10 AM,9 de enero,Gonzalo Junior Machicao Atao,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
87,Power BI,Atención Presencial - Operativo,Clientes de Zona de Autoatención ATP,"Permite visualizar la cantidad de clientes únicos por día que visita la zona de autoatención (chip repuesto, recaudación de recibos y telepresencia) de un centro de atención al cliente, su visita a la barra del centro de atención así como la venta concretada a nivel de subcanal, región y oficina. Esto contribuirá a identificar la oportunidad de venta que se tiene con dichos clientes.",Gary Joe Montero Herrera,"Autogestión, Presencial",Diario - 11:30 am y 4:30 pm,14 de enero,Ruth Patricia Raimundo Ccahuana,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
88,Power BI,Servicio al Cliente - Operativo,Monitor de Recursos Administrativos - OSIPTEL,"El dashboard tiene como finalidad centralizar, visualizar y analizar la información relacionada con los recursos administrativos de apelaciones y quejas presentados por los abonados de servicios de telecomunicaciones de Claro, en el marco de las competencias del TRASU (Tribunal Administrativo de Solución de Reclamos de Usuarios) del OSIPTEL (Organismo Supervisor de Inversión Privada en Telecomunicaciones). Mayores detalles en la hoja ""Alcance""",Alan Medina,"Apelación, OSIPTEL, Queja",En Línea,19 de enero,"Alan Medina, Jaime Isahi Pillaca Contreras",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
89,Power BI,Atención Presencial - Operativo,Reporte de Aprendizaje ATP,"Permite visualizar el tiempo de aprendizaje en horas y cantidad de cursos finalizados del personal ATP a nivel de subcanal, región, oficina y colaborador. Dichos cursos son brindados mediante la plataforma Litmos y son cursos especializados en venta, postventa, autoatención, comerciales, lineamientos, entre otros. Esto contribuirá al control del cumplimiento del tiempo de aprendizaje de cada colaborador.",Gary Joe Montero Herrera,"Presencial, Capacitación, Curso, Litmos",Diario - 11:00 am y 2:00 pm,Hace 6 días,Ruth Patricia Raimundo Ccahuana,Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
90,Power BI,Operaciones Comerciales - Operativo,Facturación Cadenas Retail y Boticas,"Principalmente muestra la cantidades facturadas por socio comercial. Con la finalidad de medir la proporción facturada por cada Canal, tipo de documento y centro de distribución.",Danny Rojas,"Categoría Socio, Facturación, Socio Comercial",Semanal - Lunes - 12:00 PM,Hace 3 días,"Esteban Daniel Oscategui Valverde, Ruth Alvarez",Ver,,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
